Model,LR,Batch Size,Epochs,Train Loss,Train RMSE,Train MAE,Train R2,Val Loss,Val RMSE,Val MAE,Val R2,Test Loss,Test RMSE,Test MAE,Test R2
gpt2,0.01,1,1,2793.20040198043,2.2743337,1.9104112,-3.8786477652598768,3.837419150214499,1.9589332,1.7688459,-3.8649547881741944,4.180481306179452,2.0446227,1.8716853,-3.541642134770348
gpt2,0.01,1,2,16958.41600227356,5.6052237,5.4353633,-28.633097595697347,31.402815183003742,5.6038213,5.519735,-38.811464452134146,32.04779570142208,5.6610775,5.568537,-33.81647413874183
gpt2,1e-06,1,1,16319.577172279358,5.497403,5.3434477,-27.50403033591562,31.299049854278564,5.5945554,5.5101323,-38.67991415411684,31.946703030918183,5.652141,5.55929,-33.706647853620474
gpt2,1e-06,1,2,16991.18460559845,5.5795946,5.4146686,-28.362729662891407,31.197882895999484,5.5855064,5.500802,-38.55165798536933,31.84745435556654,5.643355,5.5502195,-33.598824870383865
xlnet,0.01,16,1,66.13742909580469,1.3980087,0.6579452,-0.843363254009573,0.79412962977464,0.9199793,0.29803687,-0.07298988381351812,0.9150079496515294,0.98447573,0.28789955,-0.05292302826494866
xlnet,0.01,16,2,1175.0001583099365,5.7554145,4.9440107,-30.24239775849776,22.427635033925373,4.7301655,4.701691,-27.36561612708945,22.738605499267578,4.763057,4.7230144,-23.64666739289681
xlnet,0.01,32,1,973.766830265522,7.564967,7.28794,-52.97656684817252,62.42754809061686,7.919062,7.8753343,-78.5036533297841,62.99130439758301,7.946619,7.8884897,-67.60430466482147
xlnet,0.01,32,2,77.10775852203369,2.5056922,2.0083659,-4.921702360041384,4.746438066164653,2.1024814,1.9056858,-4.604073609946207,4.588133970896403,2.1162696,1.886298,-3.8655130358412038
xlnet,1e-06,16,1,153.60923719406128,2.127129,1.8580009,-3.2675519114526157,4.324553032716115,2.100647,1.9036621,-4.594299842373007,4.380643407503764,2.114466,1.884274,-3.857222794151909
xlnet,1e-06,16,2,152.79659485816956,2.1221125,1.8447305,-3.2474462134341175,4.317490657170613,2.0989559,1.9017957,-4.585295522854024,4.373653749624888,2.112803,1.8824075,-3.849585288715951
xlnet,1e-06,32,1,75.81461644172668,2.114232,1.8365953,-3.2159591330751,4.7240021626154585,2.0972252,1.8998854,-4.576088886075754,4.566126187642415,2.1111012,1.8804976,-3.841776317499604
xlnet,1e-06,32,2,76.42071843147278,2.1251283,1.8489418,-3.2595270414343354,4.7164368232091265,2.09545,1.8979259,-4.566652693438036,4.558705568313599,2.1093554,1.8785375,-3.8337726921244206
electra,0.01,16,1,74.41883915662766,1.4822979,1.0535084,-1.0723453753712953,2.2060029606024423,1.5097961,1.2212393,-1.8898561630813973,2.2897007167339325,1.537896,1.2021655,-1.569452447828954
electra,0.01,16,2,52.462590634822845,1.2628719,0.8448955,-0.5042144942748312,1.1231194213032722,1.0757071,0.83872604,-0.4669913853990382,1.277021845181783,1.1458068,0.89178145,-0.42629536248792665
electra,0.01,32,1,20.857721380889416,1.1114194,0.32925335,-0.1650570828782738,1.0678949486464262,0.91972697,0.29397756,-0.07240145272614962,1.03271107810239,0.98422444,0.28352755,-0.05238566656935406
electra,0.01,32,2,40.33367109298706,1.5255704,1.2216365,-1.1951068542578773,2.1189618706703186,1.4071214,1.2803789,-1.510167365425044,2.182053327560425,1.4677798,1.3432884,-1.3404985441942392
electra,1e-06,16,1,79.09198296070099,1.5266867,1.2315598,-1.1983202355560474,1.9539504051208496,1.4062388,1.279317,-1.5070199758897158,2.1265398462613425,1.4669187,1.3422135,-1.3377535505355267
electra,1e-06,16,2,79.43133425712585,1.5315728,1.2352555,-1.2124143318165617,1.9514401058355968,1.4053547,1.2782525,-1.5038687121557195,2.1239850918451944,1.4660561,1.3411359,-1.3350049941088975
electra,1e-06,32,1,38.91121971607208,1.5147483,1.2200716,-1.1640740187668013,2.1117159922917685,1.4044683,1.2771846,-1.500710420167803,2.1745546658833823,1.465191,1.3400549,-1.3322503755344308
electra,1e-06,32,2,39.26423692703247,1.5327836,1.2360269,-1.2159138649204122,2.1094556053479514,1.4036396,1.2761859,-1.497760156126796,2.172215143839518,1.4643825,1.339044,-1.3296770601190526
