Model,LR,Batch Size,Epochs,Train Loss,Train RMSE,Train MAE,Train R2,Val Loss,Val RMSE,Val MAE,Val R2,Test Loss,Test RMSE,Test MAE,Test R2
roberta,0.01,16,1,233.38409586250782,2.6232955,2.159211,-5.490611026084316,7.26956828435262,2.7153113,2.5668728,-8.347141823603465,7.312298854192098,2.7236528,2.5498548,-7.059166258230045
roberta,0.01,16,2,4595.992477416992,11.522977,11.451492,-124.23349608711227,135.60261917114258,11.636122,11.602179,-170.65486268339038,136.1842498779297,11.661101,11.621567,-146.7290171362249
roberta,0.01,32,1,341.7876453399658,4.491276,3.9300952,-18.02525949289117,13.0818559328715,3.558055,3.4454272,-15.04962491660228,12.809812704722086,3.5578392,3.4260395,-12.751792685665219
roberta,0.01,32,2,360.56920051574707,4.5852757,4.526581,-18.829970256137,20.26216697692871,4.508987,4.481315,-24.774929680205585,20.571188926696777,4.5425153,4.5050974,-21.417098510278112
roberta,1e-06,16,1,719.1906299591064,4.599185,4.5457525,-18.95045894066579,20.371569633483887,4.508135,4.480465,-24.765189745522836,20.673715273539226,4.5416656,4.5042567,-21.40871513120176
roberta,1e-06,16,2,721.5870876312256,4.6047506,4.5511265,-18.998774732269723,20.363871097564697,4.5072827,4.4796157,-24.755452935865357,20.665982723236084,4.5408163,4.5034165,-21.40033474165479
roberta,1e-06,32,1,360.2219352722168,4.603777,4.550191,-18.990317162842206,20.239285786946613,4.5064306,4.4787655,-24.74571510020549,20.54811414082845,4.5399666,4.502577,-21.391953480958325
roberta,1e-06,32,2,357.8003177642822,4.594398,4.5413404,-18.908949126637612,20.231656074523926,4.505578,4.4779153,-24.735974220122834,20.54042148590088,4.539117,4.5017357,-21.3835695503101
distilbert,0.01,16,1,77.64745619520545,1.4027858,0.8985164,-0.8559823224301026,1.831052541732788,1.3785659,1.0383734,-1.409320963594769,1.9028844982385635,1.4052818,1.0077418,-1.145425490804615
distilbert,0.01,16,2,9981.739967346191,16.905674,11.034192,-268.5603943974192,267.8246218363444,16.460102,10.121987,-342.4824948597564,309.3661479949951,17.816408,11.595404,-343.8473295871558
distilbert,0.01,32,1,526.5993866920471,5.5830107,3.455824,-28.398690620289912,6.335990031560262,2.5050128,2.4613545,-6.955351856352783,6.491532564163208,2.5491238,2.5250494,-6.059410624853803
distilbert,0.01,32,2,946.3553695678711,7.364303,7.2240334,-50.151039061,62.74937502543131,7.8774214,7.8271904,-77.6697395469911,62.15331904093424,7.866511,7.8077803,-66.2281120354471
distilbert,1e-06,16,1,1901.330436706543,7.479488,7.372952,-51.76365154534842,61.808010737101235,7.875528,7.825285,-77.63193738747538,61.63341077168783,7.86462,7.805876,-66.19579635405984
distilbert,1e-06,16,2,1880.868106842041,7.44628,7.3427286,-51.296169401469086,61.77835241953532,7.8736424,7.823387,-77.59428450375027,61.603827794392906,7.862736,7.803978,-66.16361111374097
distilbert,1e-06,32,1,943.7954750061035,7.4519434,7.349796,-51.37574790498104,62.659728368123375,7.8717523,7.8214846,-77.55654113030903,62.064093907674156,7.860847,7.802075,-66.1313484376325
distilbert,1e-06,32,2,941.0910911560059,7.440287,7.340222,-51.212028661645036,62.62975883483887,7.8698554,7.819576,-77.51869740678177,62.03426551818848,7.858953,7.800166,-66.09899809102187
bert,0.01,16,1,2172.5509120225906,7.9975095,7.6058106,-59.32546265494904,78.38073921203613,8.8468,8.799616,-98.22290273516394,79.08309427897136,8.886519,8.832269,-84.79263096751714
bert,0.01,16,2,415.1339349746704,3.7117972,3.476616,-11.994502049761582,12.302141110102335,3.5246038,3.410871,-14.749259752717633,12.299583435058594,3.524576,3.3914828,-12.49585323962371
bert,0.01,32,1,414.9288635253906,4.922023,4.7065997,-21.849588229677785,27.186019897460938,5.1634774,5.0865226,-32.800583633422406,26.792746543884277,5.1571627,5.067135,-27.89404669085445
bert,0.01,32,2,18.7969978004694,1.3843036,0.4780061,-0.8073979055145235,1.066218099867304,0.9189211,0.2947261,-0.0705228815667931,1.031263979151845,0.9835323,0.28488728,-0.0509060485875612
bert,1e-06,16,1,37.67769969627261,1.0560431,0.30247143,-0.051851806131248956,0.7911086980408678,0.918275,0.29531643,-0.06901811759506593,0.9121945849619806,0.9829786,0.2859915,-0.049723037373238466
bert,1e-06,16,2,37.802826680243015,1.060572,0.29211286,-0.06089270780854794,0.7898655900110801,0.9175648,0.2959723,-0.06736521546888685,0.9110608898724118,0.98237073,0.2872183,-0.04842515635793121
bert,1e-06,32,1,18.890951815992594,1.0575439,0.29015648,-0.054843246550899005,1.06203990491728,0.916915,0.29657897,-0.06585405904124197,1.0276723466813564,0.9818152,0.28835315,-0.047239690528278144
bert,1e-06,32,2,19.087691381573677,1.0600872,0.28755742,-0.05992299630689768,1.0608090311288834,0.9163248,0.29713577,-0.06448235755785592,1.026617644354701,0.9813111,0.28939468,-0.046164693407376944
