Model,LR,Batch Size,Epochs,Train Loss,Train RMSE,Train MAE,Train R2,Val Loss,Val RMSE,Val MAE,Val R2,Test Loss,Test RMSE,Test MAE,Test R2,Training Time
gpt2,0.01,1,1,853.7451867313536,1.2573822,0.505757,-0.4911647744269072,1.1766580057294858,1.0847386,0.5779107,-0.49172862669880235,1.2125515904513688,1.1011592,0.5359809,-0.31730654688887183,
gpt2,0.01,1,1,853.7451867313536,1.2573822,0.505757,-0.4911647744269072,1.1766580057294858,1.0847386,0.5779107,-0.49172862669880235,1.2125515904513688,1.1011592,0.5359809,-0.31730654688887183,119.65372109413147
gpt2,0.01,1,2,104450.78143310547,13.803007,12.896139,-178.6960555266232,395.3787306043837,19.884132,19.859467,-500.2482539178744,392.5929381649797,19.813957,19.78822,-425.509891850913,
gpt2,0.01,1,2,104450.78143310547,13.803007,12.896139,-178.6960555266232,395.3787306043837,19.884132,19.859467,-500.2482539178744,392.5929381649797,19.813957,19.78822,-425.509891850913,193.00622582435608
gpt2,1e-06,1,1,104425.18715286255,13.906113,12.990334,-181.3906747181281,395.26605597601997,19.8813,19.85663,-500.1054087004753,392.48029424340683,19.811115,19.785372,-425.38751637714046,
gpt2,1e-06,1,1,104425.18715286255,13.906113,12.990334,-181.3906747181281,395.26605597601997,19.8813,19.85663,-500.1054087004753,392.48029424340683,19.811115,19.785372,-425.38751637714046,119.97450065612793
gpt2,1e-06,1,2,107560.89487838745,14.222375,13.263481,-189.78110706352888,395.1289916992188,19.877851,19.85318,-499.9316430825927,392.3439632858361,19.807674,19.781929,-425.23940749306007,
gpt2,1e-06,1,2,107560.89487838745,14.222375,13.263481,-189.78110706352888,395.1289916992188,19.877851,19.85318,-499.9316430825927,392.3439632858361,19.807674,19.781929,-425.23940749306007,204.77244210243225
xlnet,0.01,16,1,473.023146212101,3.736286,2.6574292,-12.166530775619886,3.892769237359365,1.9752946,1.9100174,-3.9465610536220597,4.091598093509674,2.0254076,1.9790596,-3.456679732882349,
xlnet,0.01,16,1,473.023146212101,3.736286,2.6574292,-12.166530775619886,3.892769237359365,1.9752946,1.9100174,-3.9465610536220597,4.091598093509674,2.0254076,1.9790596,-3.456679732882349,89.0032708644867
xlnet,0.01,16,2,984.5781154632568,5.3964176,5.317327,-26.466429677759105,27.136863390604656,5.2032027,5.171812,-33.32266482979093,27.466521898905437,5.2349005,5.187878,-28.771687304046715,
xlnet,0.01,16,2,984.5781154632568,5.3964176,5.317327,-26.466429677759105,27.136863390604656,5.2032027,5.171812,-33.32266482979093,27.466521898905437,5.2349005,5.187878,-28.771687304046715,169.99778199195862
xlnet,0.01,32,1,204.7184739112854,3.4743686,3.13951,-10.385259952483084,8.602225144704184,2.9273221,2.8885477,-9.863771335856958,8.790741602579752,2.9680703,2.9474,-8.570507615413288,
xlnet,0.01,32,1,204.7184739112854,3.4743686,3.13951,-10.385259952483084,8.602225144704184,2.9273221,2.8885477,-9.863771335856958,8.790741602579752,2.9680703,2.9474,-8.570507615413288,375.6898527145386
xlnet,0.01,32,2,166.58821392059326,3.2657857,3.0400498,-9.059270298522371,10.677594820658365,3.2059739,3.0805,-12.030452622296536,10.432507197062174,3.2079406,3.0611117,-10.179934417456208,
xlnet,0.01,32,2,166.58821392059326,3.2657857,3.0400498,-9.059270298522371,10.677594820658365,3.2059739,3.0805,-12.030452622296536,10.432507197062174,3.2079406,3.0611117,-10.179934417456208,1265.2853922843933
