Model,LR,Batch Size,Epochs,Train Loss,Train RMSE,Train MAE,Train R2,Val Loss,Val RMSE,Val MAE,Val R2,Test Loss,Test RMSE,Test MAE,Test R2,Training Time
roberta,0.01,16,1,1298.7378202676773,6.1801357,5.972852,-35.02360074187738,39.12563959757487,6.2481728,6.2096863,-48.493213526082684,39.49251333872477,6.2776675,6.2205415,-41.81374708999733,
roberta,0.01,16,1,1298.7378202676773,6.1801357,5.972852,-35.02360074187738,39.12563959757487,6.2481728,6.2096863,-48.493213526082684,39.49251333872477,6.2776675,6.2205415,-41.81374708999733,49.99643802642822
roberta,0.01,16,2,1701.055995941162,7.1038494,7.0183215,-46.59689729467556,50.871259689331055,7.1464233,7.0910206,-63.74660896147674,50.72550010681152,7.136418,7.071633,-54.32828391110608,
roberta,0.01,16,2,1701.055995941162,7.1038494,7.0183215,-46.59689729467556,50.871259689331055,7.1464233,7.0910206,-63.74660896147674,50.72550010681152,7.136418,7.071633,-54.32828391110608,91.13442301750183
roberta,0.01,32,1,298.4220314025879,4.1924214,4.0536437,-15.577577685559035,13.923466046651205,3.7339952,3.7051375,-16.676127008860465,14.173848470052084,3.7703342,3.7446902,-14.443523236164866,
roberta,0.01,32,1,298.4220314025879,4.1924214,4.0536437,-15.577577685559035,13.923466046651205,3.7339952,3.7051375,-16.676127008860465,14.173848470052084,3.7703342,3.7446902,-14.443523236164866,49.99356389045715
roberta,0.01,32,2,658.6245765686035,6.184983,6.0840554,-35.08013332846275,40.07845560709635,6.2835636,6.220481,-49.055479419976606,39.601418813069664,6.274873,6.2010937,-41.775639613374864,
roberta,0.01,32,2,658.6245765686035,6.184983,6.0840554,-35.08013332846275,40.07845560709635,6.2835636,6.220481,-49.055479419976606,39.601418813069664,6.274873,6.2010937,-41.775639613374864,1890.5325791835785
roberta,1e-06,16,1,1318.9089889526367,6.225187,6.1380143,-35.55072081168089,39.289175033569336,6.282553,6.2194605,-49.03937668364182,39.177331606547035,6.2738643,6.200072,-41.7618833353951,
roberta,1e-06,16,1,1318.9089889526367,6.225187,6.1380143,-35.55072081168089,39.289175033569336,6.282553,6.2194605,-49.03937668364182,39.177331606547035,6.2738643,6.200072,-41.7618833353951,51.02522110939026
